ID;Название;Тип;Волна;Фаза;Инструмент;Владелец;Исполнитель;Дата начала;Дата окончания;Длительность (дней);Зависит от;Бюджет (руб);Экономия (ч/мес);Статус;Приоритет;Риск
P-01;Аудит API САМО-тур;Prerequisite;0;Подготовка;САМО-тур;Логвинов Г.А.;IT-отдел;2026-02-19;2026-02-26;7;-;50 000;0;Запланировано;Критический;Средний
P-02;Закупка Power BI (15 лицензий);Prerequisite;0;Подготовка;Microsoft;Логвинов Г.А.;IT-отдел;2026-02-19;2026-02-24;5;-;180 000/год;0;Запланировано;Критический;Низкий
P-03;Назначение PM автоматизации;Prerequisite;0;Подготовка;HR;Ген.директор;HR;2026-02-19;2026-02-19;1;-;0;0;Запланировано;Критический;Низкий
P-04;Конфигурация Битрикс24;Prerequisite;0;Подготовка;Битрикс24;Логвинов Г.А.;IT-отдел;2026-02-19;2026-02-24;5;-;100 000;0;Запланировано;Критический;Низкий
P-05;Подключение 1С к выгрузкам (OData);Prerequisite;0;Подготовка;1С;Назарикова М.В.;Подрядчик 1С;2026-02-24;2026-03-07;12;-;400 000;0;Запланировано;Критический;Средний
TZ-03;САМО алерты (ревизия туров + мониторинг цен);ТЗ;1;Фаза 1 Quick Wins;САМО-тур встроенное;Баландина О.А.;IT-отдел;2026-02-27;2026-03-13;15;P-01;160 000;33;Запланировано;Высокий;Низкий
TZ-05;ИИ-генерация контента;ТЗ;1;Фаза 1 Quick Wins;ChatGPT + Midjourney;Маркетинг;Маркетинг;2026-02-27;2026-03-13;15;-;260 000;39;Запланировано;Высокий;Низкий
AUTO-008;База знаний с поиском;AUTO;1;Фаза 1 Quick Wins;Битрикс24;Логвинов Г.А.;IT-отдел;2026-02-27;2026-03-06;8;P-04;50 000;17;Запланировано;Средний;Низкий
AUTO-036;Шаблоны ответов Outlook;AUTO;1;Фаза 1 Quick Wins;Outlook встроенное;Акопова А.В.;Кл.сервис;2026-02-27;2026-03-03;5;-;20 000;7;Запланировано;Низкий;Низкий
AUTO-037;Пульс-опросы HR;AUTO;1;Фаза 1 Quick Wins;Happy Job;Жигалина Ю.А.;HR;2026-02-27;2026-03-06;8;-;50 000;7;Запланировано;Низкий;Низкий
AUTO-040;Определение ФО по городу;AUTO;1;Фаза 1 Quick Wins;Битрикс24;Акопова А.В.;IT-отдел;2026-02-27;2026-03-03;5;P-04;20 000;5;Запланировано;Низкий;Низкий
TZ-02;Шаблоны (сметы, КП, задачи);ТЗ;1;Фаза 1 Quick Wins;Битрикс24 Low-code;Преображенская Т.В.;IT-отдел;2026-03-03;2026-03-20;18;P-04;350 000;90;Запланировано;Высокий;Низкий
AUTO-030;Мониторинг тендеров;AUTO;1;Фаза 1 Quick Wins;Seldon/Контур;Питуркин С.А.;MICE;2026-03-03;2026-03-13;10;-;100 000;13;Запланировано;Средний;Низкий
AUTO-033;Задачи из писем;AUTO;1;Фаза 1 Quick Wins;Power Automate;Преображенская Т.В.;IT-отдел;2026-03-06;2026-03-13;8;P-04;50 000;13;Запланировано;Средний;Низкий
AUTO-039;Авто-отправка документов;AUTO;1;Фаза 1 Quick Wins;САМО-тур + Albato;Акопова А.В.;IT-отдел;2026-03-13;2026-03-20;8;P-01;80 000;18;Запланировано;Средний;Низкий
AUTO-043;Уведомления агентам;AUTO;1;Фаза 1 Quick Wins;Albato + Telegram Bot;Мурадян О.Ю.;IT-отдел;2026-03-13;2026-03-27;15;P-01;100 000;40;Запланировано;Высокий;Низкий
AUTO-048;Авторотация рекламы;AUTO;1;Фаза 1 Quick Wins;Яндекс.Директ;Маркетинг;Маркетинг;2026-03-13;2026-03-20;8;-;50 000;22;Запланировано;Высокий;Низкий
TZ-01;Интеграция САМО ↔ Битрикс24;ТЗ;1;Фаза 1 Quick Wins;Albato iPaaS;Мурадян О.Ю.;IT-отдел + Подрядчик;2026-03-20;2026-04-17;28;P-01 P-04;600 000;90;Запланировано;Высокий;Средний
TZ-04;Маршрутизация и workflow Б24;ТЗ;1;Фаза 1 Quick Wins;Битрикс24 Low-code;Преображенская Т.В.;IT-отдел;2026-03-27;2026-04-24;28;P-04;620 000;84;Запланировано;Высокий;Низкий
TZ-06;Email-рассылки из САМО;ТЗ;1;Фаза 1 Quick Wins;Albato + Юнисендер;Маркетинг;IT-отдел;2026-04-03;2026-04-24;21;P-01;286 000;37;Запланировано;Средний;Низкий
TZ-09;Контроль тайм-лимитов авиа;ТЗ;2;Фаза 2 Core;Power BI + Albato;Преображенская Т.В.;IT-отдел + Подрядчик;2026-04-17;2026-05-15;28;P-02;500 000;40;Запланировано;Критический;Средний
TZ-10;Контроль документов по заявкам;ТЗ;2;Фаза 2 Core;Битрикс24;Акопова А.В.;IT-отдел;2026-04-24;2026-05-15;21;P-04;400 000;28;Запланировано;Высокий;Низкий
AUTO-004;MICE 24/7 канал;AUTO;2;Фаза 2 Core;BotHelp + Б24;Питуркин С.А.;IT-отдел;2026-04-24;2026-05-08;14;P-04;300 000;20;Запланировано;Средний;Низкий
AUTO-006;Замена Invoice Tracker;AUTO;2;Фаза 2 Core;Битрикс24 смарт-процессы;Назарикова М.В.;IT-отдел;2026-04-24;2026-05-15;21;P-04;300 000;26;Запланировано;Средний;Низкий
AUTO-007;AI-помощник IT;AUTO;2;Фаза 2 Core;ChatGPT API + BotHelp;Логвинов Г.А.;IT-отдел;2026-05-01;2026-05-22;21;AUTO-008;400 000;44;Запланировано;Средний;Средний
TZ-07;Единая система отчётности (BI);ТЗ;2;Фаза 2 Core;Power BI;Назарикова М.В.;Подрядчик BI;2026-05-15;2026-06-26;42;P-02 P-05;2 180 000;86;Запланировано;Критический;Средний
TZ-08;Платёжный календарь (Cash Flow);ТЗ;2;Фаза 2 Core;Power BI + 1С;Назарикова М.В.;Подрядчик BI;2026-05-22;2026-06-19;28;P-02 P-05;400 000;22;Запланировано;Высокий;Низкий
AUTO-010;Сверка САМО ↔ GDS;AUTO;2;Фаза 2 Core;Python + Power BI;Преображенская Т.В.;IT-отдел;2026-05-22;2026-06-12;21;P-01 P-02;300 000;18;Запланировано;Средний;Средний
AUTO-012;RoiStat интеграция;AUTO;2;Фаза 2 Core;RoiStat SaaS;Маркетинг;IT-отдел;2026-05-22;2026-06-12;21;-;300 000;33;Запланировано;Средний;Низкий
TZ-11;Парсинг цен конкурентов;ТЗ;2;Фаза 2 Core;n8n + Python;Баландина О.А.;IT-отдел;2026-06-05;2026-07-03;28;-;450 000;28;Запланировано;Высокий;Средний
AUTO-021;Переадресация по региону;AUTO;2;Фаза 2 Core;UIS телефония;Акопова А.В.;IT-отдел;2026-06-05;2026-06-19;14;-;100 000;9;Запланировано;Низкий;Низкий
AUTO-023;Учёт отсутствий;AUTO;2;Фаза 2 Core;Albato;Жигалина Ю.А.;IT-отдел;2026-06-05;2026-06-19;14;-;200 000;13;Запланировано;Средний;Низкий
AUTO-024;Мессенджеры → CRM;AUTO;2;Фаза 2 Core;Wazzup / Chat2Desk;Акопова А.В.;IT-отдел;2026-06-12;2026-07-03;21;P-04;300 000;28;Запланировано;Высокий;Средний
AUTO-029;BI-аналитика MICE;AUTO;2;Фаза 2 Core;Power BI;Питуркин С.А.;Подрядчик BI;2026-06-19;2026-07-03;14;P-02;200 000;17;Запланировано;Средний;Низкий
AUTO-031;Power BI для P&L;AUTO;2;Фаза 2 Core;Power BI + 1С;Назарикова М.В.;Подрядчик BI;2026-06-26;2026-07-24;28;P-02 P-05;включено в TZ-07;55;Запланировано;Критический;Средний
AUTO-032;Автокатегоризация расходов;AUTO;2;Фаза 2 Core;1С правила;Назарикова М.В.;Подрядчик 1С;2026-06-26;2026-07-10;14;P-05;300 000;26;Запланировано;Средний;Низкий
AUTO-034;Автопроверка тарификации;AUTO;2;Фаза 2 Core;САМО-тур + Python;Баландина О.А.;IT-отдел;2026-07-03;2026-07-17;14;P-01;200 000;17;Запланировано;Средний;Низкий
AUTO-035;Синхронизация агентов САМО↔Б24;AUTO;2;Фаза 2 Core;Albato;Мурадян О.Ю.;IT-отдел;2026-07-03;2026-07-17;14;P-01 P-04;включено в TZ-01;18;Запланировано;Средний;Низкий
AUTO-042;Шаблоны интеграций DMC;AUTO;2;Фаза 2 Core;Документация + n8n;Логвинов Г.А.;IT-отдел;2026-07-10;2026-07-24;14;-;200 000;7;Запланировано;Низкий;Низкий
AUTO-044;Контроль лимитов агентств;AUTO;2;Фаза 2 Core;САМО-тур + Albato;Мурадян О.Ю.;IT-отдел;2026-07-17;2026-07-31;14;P-01;включено в TZ-01;17;Запланировано;Высокий;Низкий
AUTO-045;Автодиспетчер 28 направлений;AUTO;2;Фаза 2 Core;Битрикс24 роботы;Преображенская Т.В.;IT-отдел;2026-07-24;2026-08-07;14;P-04;включено в TZ-04;25;Запланировано;Средний;Низкий
AUTO-047;Compliance ЕФРТА/Турпомощь;AUTO;2;Фаза 2 Core;Albato + Python;Мурадян О.Ю.;IT-отдел;2026-07-31;2026-08-14;14;-;200 000;8;Запланировано;Средний;Низкий
TZ-12;GDS → 1С интеграция;ТЗ;3;Фаза 3 Advanced;Primo RPA / UiPath;Назарикова М.В.;Подрядчик (тендер);2026-09-01;2026-11-28;88;P-05;5 000 000;81;Запланировано;Критический;Высокий
TZ-13;Динамическое ценообразование;ТЗ;3;Фаза 3 Advanced;ML на заказ;Баландина О.А.;Подрядчик (тендер);2026-09-15;2026-12-15;91;P-01 TZ-11;6 000 000;55;Запланировано;Критический;Высокий
AUTO-003;Динамическое ценообразование (алгоритм);AUTO;3;Фаза 3 Advanced;ML Python;Баландина О.А.;Подрядчик;2026-09-15;2026-12-15;91;P-01 TZ-11;включено в TZ-13;55;Запланировано;Критический;Высокий
AUTO-005;GDS → 1С автоимпорт;AUTO;3;Фаза 3 Advanced;Primo RPA;Назарикова М.В.;Подрядчик;2026-09-01;2026-11-28;88;P-05;включено в TZ-12;81;Запланировано;Критический;Высокий
AUTO-015;Матчинг гостиниц;AUTO;3;Фаза 3 Advanced;ML fuzzy matching;Баландина О.А.;Подрядчик;2026-10-01;2026-12-15;75;-;3 000 000;50;Запланировано;Средний;Высокий
AUTO-019;FlyDubai (NDC API);AUTO;3;Фаза 3 Advanced;NDC разработка;Преображенская Т.В.;Подрядчик;2026-11-01;2026-12-31;60;-;2 000 000;18;Запланировано;Низкий;Высокий
AUTO-020;Уральские авиалинии U6;AUTO;3;Фаза 3 Advanced;MyCharter.Sirena;Преображенская Т.В.;Подрядчик;2026-11-01;2026-12-31;60;-;1 500 000;13;Запланировано;Низкий;Высокий
AUTO-022;Speech Analytics;AUTO;3;Фаза 3 Advanced;Yandex SpeechKit;Акопова А.В.;Подрядчик;2026-11-15;2026-12-31;46;-;1 000 000;15;Запланировано;Средний;Средний
AUTO-038;LMS-система обучения;AUTO;3;Фаза 3 Advanced;iSpring / Teachbase;Жигалина Ю.А.;HR + IT;2026-12-01;2026-12-31;30;AUTO-022;500 000;11;Запланировано;Низкий;Низкий
AUTO-046;U-ON.Travel ↔ САМО + 1С;AUTO;3;Фаза 3 Advanced;Разработка на заказ;Мурадян О.Ю.;Подрядчик;2026-12-01;2027-02-28;89;-;2 000 000;17;Запланировано;Средний;Средний
DASH-01;P&L отчётность;DASH;2;Фаза 2 Core;Power BI;Назарикова М.В.;Подрядчик BI;2026-06-26;2026-07-17;21;P-02 P-05 AUTO-031;включено в TZ-07;55;Запланировано;Критический;Низкий
DASH-02;Тайм-лимиты авиа;DASH;2;Фаза 2 Core;Power BI;Преображенская Т.В.;Подрядчик BI;2026-05-15;2026-05-29;14;P-02 TZ-09;включено в TZ-09;40;Запланировано;Критический;Низкий
DASH-03;Invoice Tracker;DASH;2;Фаза 2 Core;Битрикс24;Назарикова М.В.;IT-отдел;2026-05-15;2026-05-29;14;P-04 AUTO-006;включено в AUTO-006;26;Запланировано;Средний;Низкий
DASH-04;Воронка Lead-to-Cash;DASH;2;Фаза 2 Core;Power BI;Преображенская Т.В.;Подрядчик BI;2026-06-19;2026-07-03;14;P-02;включено в TZ-07;18;Запланировано;Высокий;Низкий
DASH-05;Ценообразование;DASH;3;Фаза 3 Advanced;Power BI;Баландина О.А.;Подрядчик BI;2026-10-15;2026-11-15;31;P-02 AUTO-003 TZ-11;включено в TZ-13;55;Запланировано;Критический;Средний
DASH-06;RoiStat аналитика;DASH;2;Фаза 2 Core;RoiStat;Маркетинг;IT-отдел;2026-06-12;2026-06-26;14;AUTO-012;включено в AUTO-012;33;Запланировано;Средний;Низкий
DASH-07;Cash Flow;DASH;2;Фаза 2 Core;Power BI;Назарикова М.В.;Подрядчик BI;2026-06-19;2026-07-03;14;P-02 P-05 TZ-08;включено в TZ-08;22;Запланировано;Высокий;Низкий
DASH-08;ДЗ/КЗ;DASH;2;Фаза 2 Core;Power BI;Назарикова М.В.;Подрядчик BI;2026-06-26;2026-07-10;14;P-02 P-05;включено в TZ-07;13;Запланировано;Высокий;Низкий
DASH-09;MICE-сегмент;DASH;2;Фаза 2 Core;Power BI;Питуркин С.А.;Подрядчик BI;2026-07-03;2026-07-17;14;P-02 AUTO-029;включено в AUTO-029;17;Запланировано;Средний;Низкий
DASH-10;Качество звонков;DASH;3;Фаза 3 Advanced;Power BI;Акопова А.В.;Подрядчик;2026-12-01;2026-12-31;30;AUTO-022;включено в AUTO-022;15;Запланировано;Средний;Средний
DASH-11;Отсутствия;DASH;2;Фаза 2 Core;Битрикс24 / Power BI;Жигалина Ю.А.;IT-отдел;2026-06-19;2026-07-03;14;AUTO-023;включено в AUTO-023;13;Запланировано;Низкий;Низкий
DASH-12;Документы по заявкам;DASH;2;Фаза 2 Core;Power BI;Акопова А.В.;Подрядчик BI;2026-05-29;2026-06-12;14;P-02 TZ-10;включено в TZ-10;22;Запланировано;Высокий;Низкий
DASH-13;HR-аналитика;DASH;2;Фаза 2 Core;Power BI;Жигалина Ю.А.;Подрядчик BI;2026-07-10;2026-07-24;14;P-02;включено в TZ-07;7;Запланировано;Низкий;Низкий
DASH-14;Мероприятия;DASH;2;Фаза 2 Core;Power BI;Питуркин С.А.;Подрядчик BI;2026-07-10;2026-07-24;14;P-02;включено в TZ-07;6;Запланировано;Низкий;Низкий
DASH-15;IT-мониторинг;DASH;2;Фаза 2 Core;Zabbix / Grafana;Логвинов Г.А.;IT-отдел;2026-07-17;2026-07-31;14;-;100 000;7;Запланировано;Средний;Низкий
DASH-16;Входящие обращения;DASH;2;Фаза 2 Core;Power BI;Акопова А.В.;Подрядчик BI;2026-07-17;2026-07-31;14;P-02;включено в TZ-07;11;Запланировано;Средний;Низкий
